Postal Code,Customer Class,Service Connections
78748,Multi-Family,54
78752,Irrigation - Multi-Family,8
78727,City of Austin,5
78617,Commercial,92
78742,Residential,134
78726,Irrigation - Multi-Family,23
78752,Multi-Family,197
78652,Irrigation - Residential,5
78727,Multi-Family,140
78735,Austin Water Utility,1
78704,City of Austin,29
78741,Residential,4357
78742,Multi-Family,4
78757,Irrigation - Residential,6
78660,Commercial,164
78701,Commercial,1196
78736,Multi-Family,25
78750,Irrigation - City of Austin,8
78744,Austin Water Utility,5
78756,Residential,2368
78653,Multi-Family,6
78729,Irrigation - City of Austin,2
78752,Irrigation - Residential,2
78721,Residential,3232
78703,Irrigation - Multi-Family,31
78737,Commercial,11
78725,Large Volume,2
78748,City of Austin,5
78660,Austin Water Utility,1
78754,Austin Water Utility,1
78726,Austin Water Utility,3
78754,Commercial,286
78758,City of Austin,15
78613,Irrigation - Multi-Family,10
78701,Irrigation - Commercial,102
78756,Multi-Family,129
78728,Irrigation - Multi-Family,12
78744,Irrigation - Commercial,190
78751,Irrigation - City of Austin,1
78729,Wholesale,7
78652,Irrigation - Multi-Family,1
78748,Irrigation - Residential,6
78746,Irrigation - Commercial,107
78721,Irrigation - Commercial,35
78758,Irrigation - Residential,8
78724,Multi-Family,30
78745,Irrigation - Multi-Family,38
78660,Irrigation - City of Austin,1
78617,Irrigation - Residential,2
78721,Irrigation - Residential,3
78702,Multi-Family,188
78758,Commercial,745
78753,City of Austin,6
78701,Irrigation - Multi-Family,28
78749,Irrigation - Residential,5
78714,Commercial,1
78705,Irrigation - Multi-Family,76
78701,Multi-Family,96
78701,Large Volume,1
78723,City of Austin,18
78753,Austin Water Utility,2
78744,Irrigation - Residential,8
78742,Austin Water Utility,2
78719,Residential,227
78723,Austin Water Utility,1
78681,Commercial,3
78726,Irrigation - Residential,3
78739,Residential,5359
78751,Irrigation - Multi-Family,9
78704,Irrigation - Multi-Family,74
78739,Multi-Family,1
78748,Irrigation - City of Austin,2
78758,Irrigation - City of Austin,11
78721,Multi-Family,63
78758,Multi-Family,201
78747,Austin Water Utility,1
78652,Irrigation - Commercial,14
78730,Irrigation - Residential,5
78725,Commercial,48
78617,Austin Water Utility,2
78741,Irrigation - Multi-Family,48
78705,City of Austin,10
78710,Irrigation - Commercial,1
78749,Residential,10267
78703,City of Austin,22
78729,Irrigation - Residential,1
78724,Austin Water Utility,2
78737,Residential,967
78736,Irrigation - Residential,3
78752,City of Austin,7
78754,Residential,4827
78735,Irrigation - Multi-Family,23
78728,Wholesale,8
78729,City of Austin,4
78754,Multi-Family,28
78735,Irrigation - Commercial,85
78725,Austin Water Utility,5
78746,Irrigation - City of Austin,2
78744,Irrigation - Multi-Family,29
78724,Irrigation - Commercial,38
78703,Irrigation - City of Austin,9
78758,Irrigation - Commercial,199
78728,Irrigation - Residential,2
78726,Residential,2375
78730,City of Austin,1
78712,Irrigation - Commercial,13
78744,Multi-Family,114
78613,Multi-Family,7
78725,Irrigation - Commercial,5
78727,Commercial,248
78705,Residential,1807
78752,Commercial,377
78729,Irrigation - Multi-Family,26
78724,City of Austin,10
78723,Commercial,423
78704,Irrigation - Commercial,130
78758,Irrigation - Multi-Family,46
78613,Commercial,83
78731,Multi-Family,146
78749,Commercial,195
78721,City of Austin,15
78744,City of Austin,22
78747,Wholesale,2
78660,Residential,2124
78717,Multi-Family,23
78741,Irrigation - City of Austin,7
78717,Irrigation - Residential,4
78754,Irrigation - Commercial,148
78703,Irrigation - Residential,70
78725,Wholesale,1
78756,Irrigation - Residential,9
78739,Irrigation - Multi-Family,2
78741,Irrigation - Residential,7
78617,Irrigation - Commercial,36
78754,City of Austin,6
78719,Wholesale,1
78730,Residential,1945
78652,Commercial,20
78750,Irrigation - Commercial,101
78747,Residential,4874
78725,City of Austin,2
78745,Irrigation - Commercial,172
78735,Residential,2828
78729,Commercial,233
78759,Residential,9620
78757,Irrigation - City of Austin,3
78759,Irrigation - Residential,16
78704,Austin Water Utility,2
78745,Irrigation - City of Austin,6
78703,Multi-Family,347
78745,Wholesale,4
78746,Austin Water Utility,1
78751,Residential,3673
78725,Multi-Family,5
78742,Irrigation - Commercial,3
78753,Irrigation - City of Austin,4
78747,Irrigation - Multi-Family,11
78722,Commercial,193
78747,Multi-Family,31
78705,Multi-Family,496
78724,Irrigation - City of Austin,4
78749,City of Austin,6
78756,City of Austin,5
78754,Irrigation - City of Austin,2
78730,Irrigation - Commercial,69
78749,Austin Water Utility,1
78712,Irrigation - Large Volume,1
78757,City of Austin,10
78722,City of Austin,5
78753,Irrigation - Commercial,225
78703,Residential,5999
78754,Large Volume,3
78722,Multi-Family,120
78712,Large Volume,14
78653,Wholesale,1
78705,Irrigation - Commercial,68
78727,Irrigation - Residential,2
78727,Irrigation - City of Austin,2
78756,Austin Water Utility,1
78727,Residential,6863
78753,Irrigation - Residential,2
78735,Multi-Family,42
78724,Commercial,164
78719,Irrigation - City of Austin,10
78703,Austin Water Utility,2
78731,City of Austin,9
78717,City of Austin,1
78702,Irrigation - Commercial,83
78705,Irrigation - City of Austin,13
78728,Residential,1369
78723,Multi-Family,229
78652,Residential,760
78757,Residential,7547
78748,Residential,13815
78681,Irrigation - Commercial,2
78754,Irrigation - Multi-Family,15
78746,Wholesale,9
78751,Irrigation - Residential,9
78737,Irrigation - Commercial,9
78710,Commercial,1
78653,Irrigation - Commercial,19
78723,Irrigation - Residential,3
78741,Large Volume,3
78751,Commercial,356
78747,Commercial,40
78702,Irrigation - Multi-Family,40
78717,Austin Water Utility,1
78749,Irrigation - Multi-Family,31
78736,Residential,2172
78731,Irrigation - Multi-Family,19
78719,Multi-Family,11
78758,Residential,8159
78724,Irrigation - Residential,5
78726,City of Austin,2
78617,Multi-Family,42
78748,Irrigation - Commercial,210
78744,Commercial,479
78741,Austin Water Utility,1
78653,Irrigation - Residential,2
78719,Austin Water Utility,1
78728,Irrigation - Commercial,54
78747,Irrigation - Residential,2
78717,Residential,5386
78739,Irrigation - City of Austin,2
78749,Multi-Family,45
78742,Irrigation - Multi-Family,1
78745,Residential,16473
78731,Irrigation - Residential,31
78726,Multi-Family,14
78729,Multi-Family,137
78705,Irrigation - Residential,6
78726,Irrigation - Commercial,74
78745,Irrigation - Residential,14
78704,Irrigation - City of Austin,15
78757,Irrigation - Commercial,54
78702,Commercial,863
78746,Multi-Family,70
78722,Irrigation - Commercial,33
78750,City of Austin,8
78702,City of Austin,52
78721,Austin Water Utility,4
78727,Irrigation - Multi-Family,32
78653,Irrigation - Multi-Family,1
78753,Multi-Family,190
78750,Commercial,174
78717,Irrigation - City of Austin,1
78701,Irrigation - Residential,1
78714,Irrigation - Commercial,1
78728,Commercial,209
78757,Commercial,652
78660,Irrigation - Residential,4
78759,Irrigation - Multi-Family,19
78751,Multi-Family,333
78703,Irrigation - Commercial,94
78717,Commercial,120
78750,Irrigation - Residential,3
78746,Irrigation - Multi-Family,11
78753,Residential,8031
78759,Irrigation - Commercial,212
78722,Irrigation - City of Austin,5
78731,Residential,7702
78753,Commercial,663
78727,Irrigation - Commercial,108
78705,Austin Water Utility,1
78723,Residential,8243
78724,Irrigation - Multi-Family,9
78759,Commercial,495
78729,Residential,4402
78613,Austin Water Utility,1
78735,Commercial,179
78702,Irrigation - Residential,5
78766,Commercial,1
78749,Irrigation - Commercial,143
78735,Wholesale,3
78704,Commercial,963
78746,Residential,3839
78745,Multi-Family,341
78751,Irrigation - Commercial,43
78750,Multi-Family,53
78750,Austin Water Utility,6
78701,Residential,178
78747,Irrigation - Commercial,35
78736,Commercial,52
78754,Irrigation - Residential,5
78732,Residential,2
78731,Commercial,270
78733,Residential,3
78752,Irrigation - City of Austin,2
78660,Wholesale,8
78736,Irrigation - Multi-Family,7
78730,Irrigation - Multi-Family,10
78739,Commercial,26
78741,City of Austin,14
78759,City of Austin,4
78704,Multi-Family,808
78731,Irrigation - Commercial,104
78702,Austin Water Utility,1
78730,Commercial,62
78721,Irrigation - City of Austin,6
78701,Austin Water Utility,1
78756,Commercial,436
78749,Irrigation - City of Austin,2
78738,Residential,1
78739,City of Austin,1
78731,Irrigation - City of Austin,7
78750,Irrigation - Multi-Family,13
78757,Multi-Family,239
78742,Commercial,31
78759,Austin Water Utility,2
78701,City of Austin,37
78759,Irrigation - City of Austin,2
78705,Commercial,552
78704,Residential,9740
78721,Irrigation - Multi-Family,8
78660,Multi-Family,20
78728,Multi-Family,24
78752,Irrigation - Commercial,74
78744,Irrigation - City of Austin,12
78722,Residential,2040
78745,Commercial,766
78719,Irrigation - Commercial,11
78759,Multi-Family,139
78725,Residential,742
78730,Multi-Family,11
78744,Residential,9458
78726,Commercial,76
78737,Wholesale,1
78705,Large Volume,3
78741,Multi-Family,325
78752,Residential,2782
78729,Irrigation - Commercial,98
78653,Residential,446
78757,Irrigation - Multi-Family,12
78748,Commercial,336
78702,Residential,6482
78719,City of Austin,18
78753,Irrigation - Multi-Family,44
78739,Irrigation - Commercial,56
78745,City of Austin,12
78617,Residential,3531
78741,Commercial,323
78723,Irrigation - Commercial,122
78653,Commercial,21
78748,Wholesale,2
78756,Irrigation - Multi-Family,12
78746,Commercial,116
78732,Austin Water Utility,2
78756,Irrigation - Commercial,32
78660,Irrigation - Multi-Family,12
78723,Irrigation - City of Austin,4
78723,Irrigation - Multi-Family,10
78748,Irrigation - Multi-Family,45
78750,Residential,7939
78701,Irrigation - City of Austin,49
78731,Austin Water Utility,1
78652,Multi-Family,1
78742,City of Austin,1
78746,Irrigation - Residential,19
78739,Wholesale,1
78702,Irrigation - City of Austin,31
78737,Irrigation - Residential,1
78613,Irrigation - Commercial,30
78617,Irrigation - City of Austin,1
78724,Residential,3815
78725,Irrigation - Residential,1
78736,Irrigation - Commercial,16
78741,Irrigation - Commercial,110
78735,Large Volume,1
78732,Irrigation - Commercial,1
78735,City of Austin,2
78752,Austin Water Utility,1
78719,Commercial,70
78660,Irrigation - Commercial,53
78712,Commercial,18
78703,Commercial,462
78722,Irrigation - Multi-Family,4
78717,Irrigation - Multi-Family,32
78732,Commercial,8
78717,Irrigation - Commercial,128
78721,Commercial,139
78755,Commercial,1
78746,City of Austin,7
78617,City of Austin,4
78751,City of Austin,6
78704,Irrigation - Residential,20
78766,Irrigation - Commercial,1
